gene_id,experiment,species,seqYear,tissue
HMAJ_testis,nonPhoto,Hmajor,yr2014,testis
ATEN_tailA2,Photo,Atenuis,yr2016,tailA2
ATEN_tailB5,nonPhoto,Atenuis,yr2016,tailB5
ATEN_body,Photo,Atenuis,yr2016,body
BRH_vno,nonPhoto,Brhin,yr2016,vno
ALAjuv_tailA2,Photo,Alaevis,yr2016,tailA2
ALAjuv_tailB5,nonPhoto,Alaevis,yr2016,tailB5
ALAjuv_body,nonPhoto,Alaevis,yr2016,body
NSC_vno,nonPhoto,Nscutatus,yr2016,vno
HMAJ_heart,nonPhoto,Hmajor,yr2014,heart
ALA_vno,nonPhoto,Alaevis,yr2014,vno
ALA_tailA2,Photo,Alaevis,yr2014,tailA2
ALA_eye,Photo,Alaevis,yr2014,eye
HMAJ_liver,nonPhoto,Hmajor,yr2014,liver
